Date,Date.Regular.Freq,ffr_shock,fw_shock,lsap_shock,lsap_shock2,exchange.rate.open,exchange.rate.close,log.diff.exchange.rate,bmv.ipc.volume,bmv.ipc.open,bmv.ipc.close,log.diff.bmv.ipc,naftrac_open,naftrac_close,log.diff.naftrac,dcetes28,dcetes91,dcetes182,dcetes364
1998-10-15,2008-06-01,-2.9603,-2.4332,0.3738,-0.3738,10.1525,10.16,7.384615720202881e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-11-17,2008-07-01,-0.0225,0.1287,0.3387,-0.3387,9.9415,9.93,-0.0011574366589175433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-12-22,2008-08-01,0.2151,-0.0014,0.0055,-0.0055,9.818,9.8,-0.0018350499593342562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-02-03,2008-09-01,0.2094,0.2768,-0.2118,0.2118,10.11,10.107,-2.967799398545523e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-03-30,2008-10-01,0.0659,-0.387,-0.1443,0.1443,9.541,9.556,0.0015709276938542516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-05-18,2008-11-01,-0.0395,2.9835,0.2453,-0.2453,9.296,9.315,0.0020418039439964453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-06-30,2008-12-01,-0.3678,-1.7254,0.1541,-0.1541,9.426,9.37,-0.005958732251208243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-08-24,2009-01-01,0.5327,-0.49,0.0544,-0.0544,9.347,9.314,-0.0035367916402608834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-10-05,2009-02-01,-0.4347,2.3462,0.3615,-0.3615,9.501,9.445,-0.0059115552711395125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-11-16,2009-03-01,1.2575,0.5482,-0.0827,0.0827,9.419,9.382,-0.003935965934414032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-12-21,2009-04-01,0.1886,0.8563,-0.1042,0.1042,9.325,9.312,-0.0013950745407971255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-02-02,2009-05-01,-0.3775,1.1098,-0.2409,0.2409,9.58,9.571,-9.398987689994698e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-03-21,2009-06-01,0.101,0.3935,0.2478,-0.2478,9.288,9.2575,0.0017211708207729437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-05-16,2009-07-01,0.7103,0.5494,0.2483,-0.2483,9.509,9.518,9.460241416117121e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-06-28,2009-08-01,-0.1596,-0.1981,0.0586,-0.0586,9.98,9.969,-0.0011028122828058429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
